标号,标题,首次记录时间,当时热度,当时排名,字段1_link
29,8日北京新发病例活动场所,2020年02月09日16时49分,228552,46,http://47.94.93.86/info/8日北京新发病例活动场所
30,90后00后占援鄂医护的三分之一,2020年03月06日17时17分,216647,48,http://47.94.93.86/info/90后00后占援鄂医护的三分之一
31,90后医护夫妻偶遇却不敢拥抱,2020年02月17日18时27分,298710,45,http://47.94.93.86/info/90后医护夫妻偶遇却不敢拥抱
32,90后和00后之间的代沟,2020年03月06日12时43分,295342,46,http://47.94.93.86/info/90后和00后之间的代沟
33,90后外卖小哥镜头里的武汉,2020年02月09日14时22分,219354,46,http://47.94.93.86/info/90后外卖小哥镜头里的武汉
34,90后女孩建群为医生搭驿站,2020年02月08日11时18分,206144,45,http://47.94.93.86/info/90后女孩建群为医生搭驿站
35,90后消防员12天转运360吨医疗废水,2020年03月04日09时39分,207583,46,http://47.94.93.86/info/90后消防员12天转运360吨医疗废水
36,90后重症护士郭小雪,2020年03月09日13时51分,246092,46,http://47.94.93.86/info/90后重症护士郭小雪
37,90后音乐老师变身志愿者,2020年02月22日14时18分,237202,46,http://47.94.93.86/info/90后音乐老师变身志愿者
38,90后鸡司令花样致敬白衣天使,2020年03月11日07时54分,137228,48,http://47.94.93.86/info/90后鸡司令花样致敬白衣天使
39,90岁母亲陪护了4天4夜的儿子离世,2020年03月11日08时18分,160991,44,http://47.94.93.86/info/90岁母亲陪护了4天4夜的儿子离世
40,919名康复者捐献了29万毫升血浆,2020年03月06日16时27分,162196,48,http://47.94.93.86/info/919名康复者捐献了29万毫升血浆
41,9262名贫困生收到平板电脑上网课,2020年03月06日13时59分,225286,46,http://47.94.93.86/info/9262名贫困生收到平板电脑上网课
42,930万贫困人口已实现易地搬迁,2020年03月03日23时08分,462711,46,http://47.94.93.86/info/930万贫困人口已实现易地搬迁
43,93岁老人在防护服上画画留念,2020年03月02日16时49分,172705,46,http://47.94.93.86/info/93岁老人在防护服上画画留念
44,94个国家地区21302例新冠肺炎,2020年03月07日17时27分,180812,46,http://47.94.93.86/info/94个国家地区21302例新冠肺炎
45,94岁母亲举报65岁女儿聚众打麻将,2020年02月19日19时03分,239672,46,http://47.94.93.86/info/94岁母亲举报65岁女儿聚众打麻将
46,95后治愈者说收获大于痛苦,2020年02月25日12时40分,353444,45,http://47.94.93.86/info/95后治愈者说收获大于痛苦
47,95后火神山小护士,2020年03月03日09时51分,209728,46,http://47.94.93.86/info/95后火神山小护士
48,95后男护士病房内带患者打太极,2020年02月13日09时51分,135245,45,http://47.94.93.86/info/95后男护士病房内带患者打太极
49,95后男护士郑益欢,2020年02月27日12时26分,363930,44,http://47.94.93.86/info/95后男护士郑益欢
50,95后辅警牺牲抗疫一线,2020年02月26日08时45分,161156,46,http://47.94.93.86/info/95后辅警牺牲抗疫一线
1,95岁清华物理系教授直播授课,2020年02月20日17时52分,262482,46,http://47.94.93.86/info/95岁清华物理系教授直播授课
2,95岁老奶奶口红是必备品,2020年03月08日19时53分,200555,47,http://47.94.93.86/info/95岁老奶奶口红是必备品
3,95年援鄂护师哽咽与患者拥抱,2020年03月08日17时43分,186171,47,http://47.94.93.86/info/95年援鄂护师哽咽与患者拥抱
4,95年援鄂护师哽咽拥抱患者,2020年03月08日12时57分,247923,48,http://47.94.93.86/info/95年援鄂护师哽咽拥抱患者
5,96岁新冠肺炎患者治愈出院,2020年02月14日12时31分,145762,46,http://47.94.93.86/info/96岁新冠肺炎患者治愈出院
6,98岁新冠肺炎患者成功治愈,2020年02月15日16时15分,247267,46,http://47.94.93.86/info/98岁新冠肺炎患者成功治愈
7,98岁老人和女儿外孙女一同出院,2020年03月03日19时15分,312954,47,http://47.94.93.86/info/98岁老人和女儿外孙女一同出院
8,9个省份连续14天以上无新增,2020年03月07日15时47分,173081,47,http://47.94.93.86/info/9个省份连续14天以上无新增
9,9例重症患者血浆抗体治疗效果显著,2020年02月15日18时54分,193152,44,http://47.94.93.86/info/9例重症患者血浆抗体治疗效果显著
10,9大举措有序推动企业复工复产,2020年02月11日22时21分,,置顶,http://47.94.93.86/info/9大举措有序推动企业复工复产
11,9岁女孩 我替武汉谢谢你们,2020年03月06日12时59分,312880,47,http://47.94.93.86/info/9岁女孩%20我替武汉谢谢你们
12,9岁男孩山坡搭棚上网课,2020年03月03日10时04分,235734,45,http://47.94.93.86/info/9岁男孩山坡搭棚上网课
13,9日北京新发病例活动场所,2020年02月10日18时38分,241962,43,http://47.94.93.86/info/9日北京新发病例活动场所
14,9组数据回顾2月战疫,2020年03月01日18时50分,,置顶,http://47.94.93.86/info/9组数据回顾2月战疫
15,AirPods防丢指南,2020年03月03日15时42分,260682,47,http://47.94.93.86/info/AirPods防丢指南
16,AI测温,2020年02月07日17时16分,255211,45,http://47.94.93.86/info/AI测温
17,AI防疫师,2020年02月12日15时25分,264518,47,http://47.94.93.86/info/AI防疫师
18,Ame转入CDEC,2020年02月07日16时22分,228786,45,http://47.94.93.86/info/Ame转入CDEC
19,Angelababy植物系封面,2020年02月26日12时48分,251143,45,http://47.94.93.86/info/Angelababy植物系封面
20,Angelababy精灵造型,2020年02月17日11时26分,151882,46,http://47.94.93.86/info/Angelababy精灵造型
21,Apple Watch或将配置Touch ID,2020年02月07日18时51分,300145,46,http://47.94.93.86/info/Apple%20Watch或将配置Touch%20ID
22,Aster夺冠,2020年03月09日08时47分,200283,46,http://47.94.93.86/info/Aster夺冠
23,AXX 厉害,2020年02月13日21时58分,341868,46,http://47.94.93.86/info/AXX%20厉害
24,AYLA,2020年02月09日08时49分,108065,44,http://47.94.93.86/info/AYLA
25,A股,2020年02月25日11时58分,349372,45,http://47.94.93.86/info/A股
26,A股全线下跌,2020年03月10日08时13分,168999,44,http://47.94.93.86/info/A股全线下跌
27,BIGBANG与YG续约,2020年03月11日09时10分,230564,47,http://47.94.93.86/info/BIGBANG与YG续约
28,BLACKPINK 韩版VOGUE,2020年02月16日13时48分,222217,45,http://47.94.93.86/info/BLACKPINK%20韩版VOGUE
29,BLACKPINK杂志怼脸拍,2020年02月24日12时32分,304431,46,http://47.94.93.86/info/BLACKPINK杂志怼脸拍
30,BTS新歌和Sia合作,2020年02月16日23时29分,356785,46,http://47.94.93.86/info/BTS新歌和Sia合作
31,B站直播崩了,2020年02月15日20时54分,251527,46,http://47.94.93.86/info/B站直播崩了
32,C919大飞机复工,2020年03月02日23时29分,329403,44,http://47.94.93.86/info/C919大飞机复工
33,CBA预计4月6日重启,2020年03月10日20时30分,195083,47,http://47.94.93.86/info/CBA预计4月6日重启
34,COSMO三月刊封面,2020年02月12日11时42分,248235,46,http://47.94.93.86/info/COSMO三月刊封面
35,COVID-19,2020年02月12日08时58分,145463,38,http://47.94.93.86/info/COVID-19
36,COVID-19命名现场画面,2020年02月12日09时24分,127286,42,http://47.94.93.86/info/COVID-19命名现场画面
37,CSGO,2020年03月02日11时04分,187229,47,http://47.94.93.86/info/CSGO
38,CT筛选或将成诊断首选,2020年02月07日19时56分,275852,45,http://47.94.93.86/info/CT筛选或将成诊断首选
39,C罗与空气球迷握手,2020年03月09日23时15分,384234,46,http://47.94.93.86/info/C罗与空气球迷握手
40,C罗为中国祈祷,2020年02月20日10时34分,251217,46,http://47.94.93.86/info/C罗为中国祈祷
41,C罗假装和球迷握手,2020年03月09日12时13分,176419,46,http://47.94.93.86/info/C罗假装和球迷握手
42,C罗意甲连续11场破门,2020年02月23日15时19分,242901,42,http://47.94.93.86/info/C罗意甲连续11场破门
43,C罗母亲中风被紧急送医,2020年03月03日20时42分,244749,47,http://47.94.93.86/info/C罗母亲中风被紧急送医
44,C罗点球绝平,2020年02月14日10时40分,240569,45,http://47.94.93.86/info/C罗点球绝平
45,C罗观看国家德比,2020年03月02日08时11分,184022,39,http://47.94.93.86/info/C罗观看国家德比
46,DAU,2020年02月27日14时44分,263059,46,http://47.94.93.86/info/DAU
47,DMO战胜LGD,2020年03月10日19时33分,238185,47,http://47.94.93.86/info/DMO战胜LGD
48,dmzj,2020年03月04日21时37分,251978,47,http://47.94.93.86/info/dmzj
49,Doinb,2020年02月25日08时08分,145027,46,http://47.94.93.86/info/Doinb
50,Doinb MVP,2020年03月09日22时09分,319508,46,http://47.94.93.86/info/Doinb%20MVP
1,Doinb直播落泪,2020年02月26日14时16分,221761,45,http://47.94.93.86/info/Doinb直播落泪
2,emoji猜电影,2020年02月09日14时47分,172938,47,http://47.94.93.86/info/emoji猜电影
3,ES战胜SN,2020年03月10日23时01分,212445,47,http://47.94.93.86/info/ES战胜SN
4,euamoter,2020年02月15日00时35分,338825,43,http://47.94.93.86/info/euamoter
5,F1中国站延期,2020年02月12日21时04分,230696,44,http://47.94.93.86/info/F1中国站延期
6,F1澳大利亚站如期举行,2020年03月02日18时52分,215062,45,http://47.94.93.86/info/F1澳大利亚站如期举行
7,Facebook员工感染新冠病毒,2020年03月06日11时01分,226775,45,http://47.94.93.86/info/Facebook员工感染新冠病毒
8,Facebook西雅图员工确诊,2020年03月05日17时38分,231172,46,http://47.94.93.86/info/Facebook西雅图员工确诊
9,Faker2000杀,2020年03月05日21时27分,189328,45,http://47.94.93.86/info/Faker2000杀
10,Faker为新冠疫情捐款,2020年03月09日17时22分,284824,47,http://47.94.93.86/info/Faker为新冠疫情捐款
11,Faker成为T1股东,2020年02月18日10时38分,131649,47,http://47.94.93.86/info/Faker成为T1股东
12,FPX JDG,2020年03月09日18时23分,296800,45,http://47.94.93.86/info/FPX%20JDG
13,FPX赢了,2020年03月09日20时59分,224089,47,http://47.94.93.86/info/FPX赢了
14,FUN剧场,2020年03月11日18时02分,1586101,6,http://47.94.93.86/info/FUN剧场
15,Gigi的脸,2020年02月22日21时43分,201007,45,http://47.94.93.86/info/Gigi的脸
16,GNR,2020年03月08日23时32分,303741,48,http://47.94.93.86/info/GNR
17,GNR首胜,2020年03月08日20时33分,211805,48,http://47.94.93.86/info/GNR首胜
18,Gosh 脏班子,2020年03月04日07时22分,85014,45,http://47.94.93.86/info/Gosh%20脏班子
19,GQ 何瑫,2020年02月20日20时11分,199679,46,http://47.94.93.86/info/GQ%20何瑫
20,GQ 曾鸣,2020年02月28日22时38分,287675,47,http://47.94.93.86/info/GQ%20曾鸣
21,hey jude万能公式唱法,2020年02月15日12时44分,316909,45,http://47.94.93.86/info/hey%20jude万能公式唱法
22,Hi宅家干嘛呢,2020年02月19日02时17分,660590,3,http://47.94.93.86/info/Hi宅家干嘛呢
23,ICON来了,2020年02月24日10时48分,1260141,6,http://47.94.93.86/info/ICON来了
24,ICU病房医生16秒为病人换上人工肺,2020年03月08日21时46分,140921,48,http://47.94.93.86/info/ICU病房医生16秒为病人换上人工肺
25,iG赢了,2020年03月11日20时47分,237033,48,http://47.94.93.86/info/iG赢了
26,iKON回归,2020年02月06日18时12分,264355,45,http://47.94.93.86/info/iKON回归
27,IMF预计2020年中国经济增速为5.6%,2020年02月23日11时23分,229776,45,http://47.94.93.86/info/IMF预计2020年中国经济增速为5.6%
28,iOS14新功能,2020年03月11日14时59分,297929,47,http://47.94.93.86/info/iOS14新功能
29,iPad Air 3会出现永久性黑屏,2020年03月07日14时55分,164952,46,http://47.94.93.86/info/iPad%20Air%203会出现永久性黑屏
30,iPhone 汽车钥匙,2020年02月06日15时49分,391135,29,http://47.94.93.86/info/iPhone%20汽车钥匙
31,iPhoneXR出货量全球第一,2020年02月27日10时45分,291489,42,http://47.94.93.86/info/iPhoneXR出货量全球第一
32,iPhone摄像头韩国工厂关闭,2020年03月02日13时54分,255043,46,http://47.94.93.86/info/iPhone摄像头韩国工厂关闭
33,iQOO 3来了,2020年02月25日10时04分,3164321,3,http://47.94.93.86/info/iQOO%203来了
34,ITZY回归,2020年03月09日17时19分,218293,48,http://47.94.93.86/info/ITZY回归
35,IU 爱的迫降OST,2020年02月15日18时09分,157771,47,http://47.94.93.86/info/IU%20爱的迫降OST
36,IZONE 一位,2020年02月25日19时55分,234704,47,http://47.94.93.86/info/IZONE%20一位
37,IZONE主打曲FIESTA MV,2020年02月17日18时18分,209456,46,http://47.94.93.86/info/IZONE主打曲FIESTA%20MV
38,IZONE回归,2020年02月17日15时06分,178075,43,http://47.94.93.86/info/IZONE回归
39,IZONE回归预告,2020年02月13日21时48分,346771,42,http://47.94.93.86/info/IZONE回归预告
40,JayZ韦德观战NBA榜首大战,2020年03月07日14时43分,157860,45,http://47.94.93.86/info/JayZ韦德观战NBA榜首大战
41,JonyJ当爸,2020年02月29日13时44分,253024,45,http://47.94.93.86/info/JonyJ当爸
42,JR为湖人试训,2020年03月02日22时53分,383676,46,http://47.94.93.86/info/JR为湖人试训
43,KBS,2020年03月11日07时37分,89327,43,http://47.94.93.86/info/KBS
44,KBS电视台员工确诊新冠肺炎,2020年03月11日09时35分,220475,43,http://47.94.93.86/info/KBS电视台员工确诊新冠肺炎
45,KPL创造大赛,2020年02月21日15时19分,1556046,6,http://47.94.93.86/info/KPL创造大赛
46,LadyGaga新专,2020年02月28日13时34分,343243,45,http://47.94.93.86/info/LadyGaga新专
47,Lami ins,2020年02月25日15时25分,127132,49,http://47.94.93.86/info/Lami%20ins
48,LCK停赛,2020年03月03日15时08分,277770,46,http://47.94.93.86/info/LCK停赛
49,LGD晋级,2020年02月13日18时19分,290230,46,http://47.94.93.86/info/LGD晋级
50,LG出售中国总部大楼,2020年02月10日19时28分,202515,42,http://47.94.93.86/info/LG出售中国总部大楼
1,Lisa金色套装,2020年02月21日07时21分,50572,45,http://47.94.93.86/info/Lisa金色套装
2,Lisa黑长卷发,2020年02月18日17时07分,184951,47,http://47.94.93.86/info/Lisa黑长卷发
3,LOL玩家的日常,2020年02月29日23时40分,1509051,6,http://47.94.93.86/info/LOL玩家的日常
4,LPL公开训练赛,2020年02月26日14时38分,246177,47,http://47.94.93.86/info/LPL公开训练赛
5,LPL春季赛,2020年03月09日13时21分,278223,46,http://47.94.93.86/info/LPL春季赛
6,LPL春季赛赛程更新,2020年03月02日19时03分,250832,46,http://47.94.93.86/info/LPL春季赛赛程更新
7,LPL百大经典战役,2020年02月23日12时01分,221559,47,http://47.94.93.86/info/LPL百大经典战役
8,LPL线上开赛时间,2020年02月28日12时52分,352496,46,http://47.94.93.86/info/LPL线上开赛时间
